task_id,category,N,w_ratio,w_C,w_A,r_min,seed,r_selected,y,V_selected,brier,gate_cleared
arith_hard_11,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.99999999999,0,-0.99999999998,0.99999999998,1
arith_hard_12,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.857,0,-0.734449,0.734449,1
arith_hard_13,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_hard_14,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.99999999999,0,-0.99999999998,0.99999999998,1
arith_hard_15,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.35,0,-0.12249999999999998,0.12249999999999998,0
arith_hard_16,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_hard_17,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
arith_hard_18,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_hard_19,arithmetic_hard,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
arith_hard_20,arithmetic_hard,1,0,1.0,0.0,0.5,2001,0.9,0,-0.81,0.81,1
fact_common_01,factual_common,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_common_02,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_03,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_04,factual_common,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_common_05,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_06,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_07,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_08,factual_common,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_common_09,factual_common,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_common_10,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_11,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_12,factual_common,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_common_13,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_14,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_common_15,factual_common,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_obscure_01,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
fact_obscure_02,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_obscure_03,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,1,-0.0025000000000000044,0.0025000000000000044,1
fact_obscure_04,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_obscure_05,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,1,-0.0025000000000000044,0.0025000000000000044,1
fact_obscure_06,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_obscure_07,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_obscure_08,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
fact_obscure_09,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
fact_obscure_10,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_obscure_11,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
fact_obscure_12,factual_obscure,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
fact_obscure_13,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
fact_obscure_14,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
fact_obscure_15,factual_obscure,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_01,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_02,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_03,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_04,code_simple,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
code_simple_05,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_06,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_07,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_08,code_simple,1,0,1.0,0.0,0.5,2001,1.0,1,0.0,0.0,1
code_simple_09,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_10,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_11,code_simple,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
code_simple_12,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_13,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_14,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_simple_15,code_simple,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_01,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_02,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_03,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_04,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_05,code_algorithmic,1,0,1.0,0.0,0.5,2001,0.95,0,-0.9025,0.9025,1
code_algo_06,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_07,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_08,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_09,code_algorithmic,1,0,1.0,0.0,0.5,2001,0.999999999,0,-0.9999999980000001,0.9999999980000001,1
code_algo_10,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_11,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_12,code_algorithmic,1,0,1.0,0.0,0.5,2001,0.999999999,1,-9.999999434361379e-19,9.999999434361379e-19,1
code_algo_13,code_algorithmic,1,0,1.0,0.0,0.5,2001,0.9,0,-0.81,0.81,1
code_algo_14,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
code_algo_15,code_algorithmic,1,0,1.0,0.0,0.5,2001,1.0,0,-1.0,1.0,1
